orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10248,VINET,5,5/10/2024,5/21/2024,5/10/2024,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,France
10249,TOMSP,6,6/23/2020,7/9/2020,6/28/2020,1,11.61,Toms SpezialitÃ¤ten,Luisenstr. 48,MÃ¼nster,Germany,44087,Germany
10250,HANAR,4,9/8/2021,9/16/2021,9/9/2021,2,65.83,Hanari Carnes,Rua do PaÃ§o 67,Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,10/1/2020,10/11/2020,10/3/2020,1,41.34,Victuailles en stock 2, rue du Commerce,Lyon,France,69004,France
10252,SUPRD,4,2/11/2024,3/8/2024,2/14/2024,2,51.3,SuprÃªmes dÃ©lices,Boulevard Tirou 255,Charleroi,Belgium,B-6000,Belgium
10253,HANAR,3,12/20/2022,1/4/2023,12/21/2022,2,58.17,Hanari Carnes,Rua do PaÃ§o 67,Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,9/25/2023,10/21/2023,10/1/2023,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,Switzerland,3012,Switzerland
10255,RICSU,9,7/27/2023,8/24/2023,7/27/2023,3,148.33,Richter Supermarkt,Starenweg 5,GenÃ¨ve,Switzerland,1204,Switzerland
10256,WELLI,3,7/19/2024,8/4/2024,7/25/2024,2,13.97,Wellington Importadora,Rua do Mercado 12,Resende,SP,08737-363,Brazil
10257,HILAA,4,9/29/2021,10/17/2021,10/2/2021,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San CristÃ³bal,TÃ¡chira,5022,Venezuela
10258,ERNSH,1,2/23/2020,3/14/2020,3/1/2020,1,140.51,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10259,CENTC,4,1/23/2022,2/18/2022,1/24/2022,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,MÃ©xico D.F.,Mexico,5022,Mexico
10260,OTTIK,4,2/19/2024,3/18/2024,2/22/2024,1,55.09,Ottilies KÃ¤seladen,Mehrheimerstr. 369,KÃ¶ln,Germany,50739,Germany
10261,QUEDE,4,10/4/2021,10/25/2021,10/10/2021,2,3.05,Que DelÃ­cia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10262,RATTC,8,12/12/2024,12/31/2024,12/19/2024,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,ERNSH,9,5/18/2022,6/10/2022,5/25/2022,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10264,FOLKO,6,3/21/2020,4/5/2020,3/28/2020,3,3.67,Folk och fÃ¤ HB,Ã…kergatan 24,BrÃ¤cke,Sweden,S-844 67,Sweden
10265,BLONP,2,8/20/2024,9/19/2024,8/26/2024,1,55.28,Blondel pÃ¨re et fils 24, place KlÃ©ber,Strasbourg,France,67000,France
10266,WARTH,3,3/22/2024,3/29/2024,3/22/2024,3,25.73,Wartian Herkku,Torikatu 38,Oulu,Finland,90110,Finland
10267,FRANK,4,6/15/2024,7/14/2024,6/20/2024,1,208.58,Frankenversand,Berliner Platz 43,MÃ¼nchen,Germany,80805,Germany
10268,GROSR,8,8/23/2023,9/5/2023,8/24/2023,3,66.29,GROSELLA-Restaurante,5Âª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,WHITC,5,8/20/2021,9/8/2021,8/24/2021,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,WARTH,1,8/8/2022,8/15/2022,8/9/2022,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Finland,90110,Finland
10271,SPLIR,6,3/9/2020,3/16/2020,3/10/2020,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,RATTC,6,11/26/2021,12/12/2021,11/30/2021,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,QUICK,3,10/17/2023,10/24/2023,10/21/2023,3,76.07,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10274,VINET,6,6/8/2023,6/18/2023,6/14/2023,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,France
10275,MAGAA,1,7/30/2022,8/29/2022,8/4/2022,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Italy,24100,Italy
10276,TORTU,8,2/11/2024,2/27/2024,2/17/2024,3,13.84,Tortuga Restaurante,Avda. Azteca 123,MÃ©xico D.F.,Mexico,5033,Mexico
10277,MORGK,2,1/4/2022,1/21/2022,1/8/2022,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Germany,4179,Germany
10278,BERGS,8,3/21/2024,3/29/2024,3/28/2024,2,92.69,Berglunds snabbkÃ¶p,BerguvsvÃ¤gen  8,LuleÃ¥,Sweden,S-958 22,Sweden
10279,LEHMS,8,9/17/2021,10/5/2021,9/23/2021,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Germany,60528,Germany
10280,BERGS,2,6/7/2022,6/23/2022,6/13/2022,1,8.98,Berglunds snabbkÃ¶p,BerguvsvÃ¤gen  8,LuleÃ¥,Sweden,S-958 22,Sweden
10281,ROMEY,4,9/13/2022,9/29/2022,9/18/2022,1,2.94,Romero y tomillo,Gran VÃ­a 1,Madrid,Spain,28001,Spain
10282,ROMEY,4,12/12/2022,12/19/2022,12/17/2022,1,12.69,Romero y tomillo,Gran VÃ­a 1,Madrid,Spain,28001,Spain
10283,LILAS,3,2/6/2023,2/21/2023,2/10/2023,3,84.81,LILA-Supermercado,Carrera 52 con Ave. BolÃ­var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,4,9/19/2021,10/19/2021,9/22/2021,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Germany,60528,Germany
10285,QUICK,1,12/21/2023,1/19/2024,12/24/2023,2,76.83,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10286,QUICK,8,3/28/2021,4/21/2021,3/30/2021,3,229.24,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10287,RICAR,8,4/24/2024,5/11/2024,4/26/2024,3,12.76,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10288,REGGC,4,1/29/2023,2/23/2023,1/31/2023,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Italy,42100,Italy
10289,BSBEV,7,10/6/2022,10/29/2022,10/12/2022,3,22.77,B's Beverages,Fauntleroy Circus,London,UK,EC2 5NT,UK
10290,COMMI,8,7/9/2021,7/19/2021,7/9/2021,1,79.7,ComÃ©rcio Mineiro,Av. dos LusÃ­adas 23,Sao Paulo,SP,05432-043,Brazil
10291,QUEDE,6,6/7/2021,7/2/2021,6/12/2021,2,6.4,Que DelÃ­cia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10292,TRADH,1,1/7/2023,1/16/2023,1/7/2023,2,1.35,TradiÃ§ao Hipermercados,Av. InÃªs de Castro 414,Sao Paulo,SP,05634-030,Brazil
10293,TORTU,1,12/1/2023,12/17/2023,12/7/2023,3,21.18,Tortuga Restaurante,Avda. Azteca 123,MÃ©xico D.F.,Mexico,5033,Mexico
